Compound,Protons,Mass,PPM,Peak,Loss,Best,Intensity
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2O + ClClClCl + NaNa,2,9226.85156,191.933292573782,9228.6225,28.722312996753065,False,6229358.813450667
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2O + ClClCl + NaNa + K,4,9228.47951,15.494426773699555,9228.6225,16.709052656997763,False,7640169.581487692
C378H629N105O118S1 + PtPt + H2OH2OH2O + ClClClCl + KK,2,9226.97804,178.22303173049778,9228.6225,30.88913015811281,False,6437128.449485132
C378H629N105O118S1 + PtPt + NH3 + H2OH2OH2O + ClClClCl + Na + K,2,9227.89951,78.34827408087034,9228.6225,23.82941108426751,False,7535626.727182444
C378H629N105O118S1 + PtPt + NH3NH3 + ClClClCl + Na + KK,3,9228.97527,38.22417870682281,9228.6225,17.84516284039504,False,7597281.611987059
C378H629N105O118S1 + PtPt + NH3NH3NH3 + ClClClCl + NaNa + K,3,9229.89674,138.05571566997244,9228.6225,17.18294468464341,False,7214332.907660474
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2O + ClCl + NaNa + KK,6,9230.10746,160.88220060655433,9228.6225,37.48844937570206,False,7018353.723201301
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2O + ClClCl + Na + KK,4,9227.55804,115.35663014909619,9228.6225,17.182918141804638,False,7389898.760199886
C378H629N105O118S1 + PtPt + NH3 + H2O + ClClClCl + Na + KK,3,9229.95998,144.90637043912096,9228.6225,17.68791447780534,False,7155516.831231324
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2OH2OH2O + Cl + NaNa + KK,7,9229.67494,114.02785112617383,9228.6225,48.670850963090615,False,7420616.996086332
C378H629N105O118S1 + PtPt + NH3NH3NH3NH3 + H2OH2OH2O + ClCl + NaNa + K,5,9228.04699,62.365308783365634,9228.6225,18.575089378490436,False,7562209.451584326
C378H629N105O118S1 + PtPt + NH3 + H2OH2OH2O + ClClCl + Na + KK,4,9229.52746,98.05052359634524,9228.6225,19.086427713453656,False,7489806.112804529
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2OH2O + ClClCl + NaNa + K,4,9230.44893,197.87011594472713,9228.6225,22.73766660581073,False,6700771.091662825
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2OH2O + ClClClCl + NaNa,2,9228.82098,21.506539181013267,9228.6225,19.018065129938087,False,7627311.845727186
C378H629N105O118S1 + PtPt + NH3NH3 + H2OH2O + ClClClCl + Na + K,2,9226.9148,185.07811516792395,9228.6225,29.79714086126951,False,6333243.631469393
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2O + ClClCl + NaNa + K,4,9229.46422,91.19922673044941,9228.6225,18.76540481160977,False,7502114.830036401
C378H629N105O118S1 + PtPt + NH3NH3NH3 + H2OH2O + ClClClCl + NaNa,2,9227.83627,85.20198852636393,9228.6225,22.876824762249086,False,7524227.951137251
